title,genre,description,director,cast
Untitled Mohanlal movie,null,Add a Plot,Bhadran,"['Mohanlal', 'Ramya Krishnan', 'R. Sarathkumar']"
N N Pillai Biopic,Biography,"The movie is said to be the biopic based on the life of the greatest drama artist, legendary humanist, and actor N N Pillai who had an eventful life as a young soldier, freedom fighter ...See full summary»",Rajeev Ravi,['Nivin Pauly']
Bullet Diaries,Drama,Add a Plot,Santhosh Mandoor,"['Johny Antony', 'Dhyan Sreenivasan', 'Prayaga Martin', 'Althaf Salim']"
Price of Police,"Crime, Thriller",Add a Plot,Unni Madhav,"['Miya George', 'Rahul Madhav', 'Kalabhavan Shajohn', 'Swasika Vijay']"
Untitled Nivin Pauly/Jude Anthanny Joseph movie,null,Add a Plot,Jude Anthany Joseph,['Nivin Pauly']
Oru Nalpathukaarante Irupathonnukaari,Romance,The story of a 41-year-old man and a 21-year-old girl.,Anoop Menon,"['Priya Prakash Varrier', 'Nandu', 'Ambi Neenasam']"
Yemaha,Comedy,Add a Plot,Ullas Krishna,['Unni Mukundan']
Kurukk,"Crime, Mystery, Thriller",A police officer who has to investigate and unravel the case of a double murder that shook the city.,Abhijith Noorani,"['Meera Nair', 'Anil Anto', 'Preetha Pradeep', 'Subin Tarzan']"
Antappante Athbudha Pravarthikal (Miracles of Antappan),"Comedy, Fantasy",Add a Plot,Vipin Atley,"['Sajid Yahiya', 'Unni Sivapal', 'Sooraj Tom']"
Untitled Prithviraj/Gokulraj Project,Drama,Add a Plot,Gokulraj Bhaskar,['Prithviraj Sukumaran']
Untitled Mammootty-Asif Ali film,null,Add a Plot,Mammootty,['Asif Ali']
Kattis Gang,"Comedy, Family",Add a Plot,Aneel Dev,"['Sajin Cherukayil', 'Althaf Salim', 'Swathi Das Prabhu', 'Varun Dhara']"
Pramukhar,Thriller,Add a Plot,Basil Hussain,"['Muhammed Shan', 'Rahul CB']"
Untitled Ram second part,"Action, Thriller",Add a Plot,Jeethu Joseph,['Mohanlal']
Thundu,null,Add a Plot,Riyas Shereef,['Biju Menon']
Kerala Express,Thriller,Add a Plot,Akshay Ajith,"['Shine Tom Chacko', 'Siddique', 'Riyaz Khan', 'Manpreet']"
Nedulan,Horror,Add a Plot,Akkil Boby Aravind,"['Prakash Raj', 'Unni Mukundan', 'John Vijay', 'Baburaj']"
Thalakuri,"Comedy, Drama",Add a Plot,Nidheesh Lohidhakshan,"['Noorudheen Ali Ahmed', 'Tia Sebastian']"
Written & Directed by God,Comedy,Add a Plot,Febi George Stonefield,"['Aparna Das', 'Saiju Kurup', 'Sunny Wayne', 'Kottayam Nazeer']"
Paathira Kurbana,Comedy,Add a Plot,Vinay Jose,"['Neeraj Madhav', 'Aju Varghese', 'Dhyan Sreenivasan']"
Locals,Comedy,Add a Plot,Vysakh,"['Kunchacko Boban', 'Jayasurya', 'Suraj Venjaramoodu']"
Unlock,Thriller,Add a Plot,Sohan Seenulal,"['Mamta Mohandas', 'Chemban Vinod Jose', 'Sreenath Bhasi']"
CID Sheela,Thriller,Add a Plot,Saiju S.S.,['Miya George']
Son of Gangster,"Action, Thriller",Add a Plot,Vimal Raj,"['Sunil Sukhada', 'Jaffer Idukki', 'Kailash', 'Rahul Madhav']"
Checkmate,Thriller,Add a Plot,Ratish Sekhar,"['Lal', 'Anoop Menon', 'Rekha Harindran']"
Untitled Asif Ali/Soubin/Nahas Nazar Project,Drama,Add a Plot,Nahas Nazar,"['Soubin Shahir', 'Asif Ali']"
Velleppam,Comedy,Add a Plot,Praveen Raj Pookkadan,"['Shine Tom Chacko', 'Roma Asrani', 'Noorin Shereef', 'Akshay Radhakrishnan']"
Dhuniyavinte Orattath,Comedy,Add a Plot,Tom Emmatty,"['Sreenath Bhasi', 'Sudhi Koppa']"
Kummattikali,null,Add a Plot,Vincent Selva,"['Mime Gopi', 'Sinoj Varghese', 'Azees Nedumangad', 'Anu Prabhakar']"
Athiru,Comedy,Add a Plot,Babiem Molel,['Dhyan Sreenivasan']
Kanakarajyam,Drama,"The relationship between two people, their complexes and pride.",Saagar,"['Indrans', 'Remya Suresh', 'Kottayam Ramesh', 'Leona Lishoy']"
The Legend,"Action, Drama",Add a Plot,Jomon T. John,"['Dileep', 'Saikumar', 'Rajeev Pillai']"
Moscow Kavala,Drama,Add a Plot,Binoy Veloor,"['Babu Namboothiri', 'Daveed John']"
Untitled Devananda/Maniyanpilla Raju Project,null,"A small family of a father, mother and daughter named Munna come to live. The family has shifted to their ancestral home to perform a ritual called theyyam. Their relatives also live in ...See full summary»",Manu,"['Saiju Kurup', 'Deva Nandha', 'Kanchan', 'Maniyanpilla Raju']"
Adukkala,"Drama, Family",Add a Plot,Maxwell Jose,"['Lena', 'Dhyan Sreenivasan']"
Untitled Asif Ali/Arfaz Ayub Film,Drama,Add a Plot,Arfaz Ayub,"['Asif Ali', 'Amala Paul', 'Sharafudheen']"
Jai Ganesh,null,Add a Plot,Ranjith Sankar,['Unni Mukundan']
Astra,null,Add a Plot,Azad Alavil,"['Neena Kurup', 'Amith Chakalakkal', 'Santhosh Keezhattoor', 'Sudheer Karamana']"
Untitled Dileep movie,null,Add a Plot,Nissam Basheer,"['Dileep', 'Suraj Venjaramoodu']"
Njan Kandhatha Sare,Thriller,Add a Plot,Varun G. Panicker,"['Indrajith Sukumaran', 'Baiju', 'Anoop Menon', 'Alencier Ley Lopez']"
Parannu Parannu,Adventure,Add a Plot,Sugeeth,['Asif Ali']
Untitled Priyanka Nair Film,Drama,The film explores the aftermath of some unexpected events in this woman's life.,Abhilash Purushothaman,['Priyanka Nair']
Vayali,Drama,Add a Plot,Shaah Alif,"['Asok Kumar', 'Achuthanandan', 'Sundaran Chettippadi']"
Ennivar,Drama,A personal rivalry becomes a political fight and a group of 4 students sets out to abscond in a remote house amidst the mountains.,Sidhartha Siva,"['Sarjano Khalid', 'Sooraj S. Kurup', 'Jeo Baby', 'Binu Pappu']"
Charlie' s Angel,"Comedy, Romance","The Story revolves around Charlie, who while on a job search in Dubai meets Angel, the daughter of a millionaire, at various stages of his life there. Things get heady when Charlie dreams ...See full summary»",Saji Surendran,"['Roshan Mathew', 'Anarkali Marikar']"
Untitled Sathyan Biopic,Biography,Add a Plot,Ratheesh Reghunandan,['Jayasurya']
Tiki Taka,null,Add a Plot,Vs Rohith,"['Wamiqa Gabbi', 'Asif Ali', 'Sanchana Natarajan', 'Naslen Gafoor']"
Lelam 2,"Action, Thriller",Add a Plot,Nithin Renji Panicker,"['Suresh Gopi', 'Gokul Suresh']"
Idukki Sambhavam,Drama,Add a Plot,Santhosh Anima,"['Tara Amala Joseph', 'Abijith Asokan']"
Juliana,null,A girl who falls into a dangerous situation when her head gets stuck in a metallic pot while she embarks on a solo trip.,Prasanth Mambully,"['Priya Prakash Varrier', 'Kundan Bhardwaj']"
Kunjali Marakkar (IV),"Action, Biography, Drama",The life of epic character Kunjali Marakkar.,Santosh Sivan,['Mammootty']
Christopher Columbus,Thriller,Add a Plot,Prasanth Sasi,"['Nayana Elza', 'Govind Padmasoorya', 'Adrianna Edwards', 'Neil Lee Luck']"
Louis Araman,Comedy,Add a Plot,Jexson Antony,"['Rejis Antony', 'Prithviraj Sukumaran']"
Vaakku,Drama,Adi starts to stray away from his family and their world is turned upside down when Adi goes missing after doing something terrible.,Sujith S. Nair,"['Suraj Venjaramoodu', 'Sudheer Karamana', 'Sooraj Sukumar Nair', 'Devi Ajith']"
Praharam,Action,Add a Plot,Binu Sadanandan,"['Alexander Prasanth', 'Sudheesh', 'Rajiv Rajan', 'Harisree Yousuf']"
Tick Tock,Drama,Add a Plot,Vivek Anirudh,['Tovino Thomas']
Ente Sathyanweshana Pareekshakal,Comedy,Add a Plot,Kukku Surendran,"['Suraj Venjaramoodu', 'Rahman', 'Mythili', 'Surabhi Prabhu']"
Irumukham,Thriller,Add a Plot,Sharafudheen,['Joju George']
Kosarakkolli,null,Add a Plot,Sunil Lenus,"['Anoop Menon', 'Murali Gopy']"
Thimingala Vetta,Comedy,Add a Plot,Rakesh Gopan,"['Vijayaraghavan', 'Jagadish', 'Kottayam Ramesh', 'Maniyanpilla Raju']"
Ambalamukkile Visheshangal,Comedy,Add a Plot,Jayaram Kailas,"['Gokul Suresh', 'Lal', 'Major Ravi', 'Ishni']"
TaOr the Investigation,Thriller,An ex-gang leader was leading his life in his home country as devotional citizen with his mother. His peace is taken away as soon as his brother died in the middle east region. Ex-gangster ...See full summary»,Ramiz Thalhath,"['Mascu', 'Shamyla Yusuf', 'Sahal Pappa', 'Ravan Navin']"
Adavu,Comedy,Add a Plot,Ratheesh K. Rajan,['Asif Ali']
Udampadi,Drama,Add a Plot,Suresh Peter Thomas,"['Anumol K. Manoharan', 'Sujith Shanker', 'Prakash Bare']"
Poojyam,Fantasy,"Bidhin Bal's 'Poojyam' (Zero) is an inquiry into the entanglement of being and nothingness. Set in a rural premise of Kerala, the film revolves around the questions of birth, being, death and everything in between.",Bidhin Bal,['Bhaskaran']
Thalayundu Udalilla,Thriller,Add a Plot,Sugeeth,['Biju Menon']
Thariode: The Lost City,"Adventure, Drama, History","Australian geologist Mr Smith arrives at Thariode, British India for gold mining. Based on the 2019 documentary film ""Thariode"" by Nirmal Baby Varghese.",Nirmal Baby Varghese,"['Roger Ward', 'Bill Hutchens', 'Amelie Leroy', 'Courtney Sanello']"
Swakaryam Sambhavabahulam,null,Add a Plot,Naseer Badarudeen,"['Sajin Cherukayil', 'Annu Antony', 'Jeo Baby', 'Sudheer Paravoor']"
Ottakomban,"Action, Thriller",Add a Plot,Mahesh Parayil,"['Suresh Gopi', 'Johny Antony']"
Mazha Peyyunna Kadal,null,Add a Plot,Ligosh Gopinadh,['Sudheesh']
Thaarumaar,Comedy,Add a Plot,Ratheesh Ravindran,"['Prasant Murali', 'Manjula Mohandas', 'Pooja Mohanraj', 'Ramesh Menon']"
Idi Mazha Kaattu,"Action, Thriller",Add a Plot,Ambiliy S. Rengan,"['Chemban Vinod Jose', 'Sreenath Bhasi', 'Sabumon Abdusamad', 'Senthil Krishna']"
Aa Mukhangal,null,Add a Plot,Jinto Thekkiniyath,"['Santhosh Keezhattoor', 'Jayashankar', 'Salim Kumar', 'Rajiv Rajan']"
Vrittham,Thriller,Add a Plot,Gauthami Nair,"['Durga Krishna', 'Sunny Wayne', 'Anand Bbal']"
Al Karama,Comedy,Add a Plot,Refiy Muhammed,"['Sreenath Bhasi', 'Sudhi Koppa', 'Balu Varghese']"
The Morgue,Thriller,A DJ party in the evening and the ensuing events result in the characters ending up in a morgue. The major part of the story unfolds in and around the mortuary.,Mahezh,"['Sukesh', 'Arathi Krishna', 'Pavan Gino Thomas', 'Shariq Mohammed']"
Kasiminte Kadal,Drama,Tale of a 13-year-old boy who is forced to shift from a 'happening' city to a quiet seaside town with his terminally ill father.,Shyamaprasad,"['Tashi', 'Harish Uthaman', 'Arya Salim', 'Krishnapriya Nazeer']"
Untitled Dhyan Sreenivasan/Vinay Jose Project,null,Add a Plot,Vinay Jose,"['Johny Antony', 'Aju Varghese', 'Dhyan Sreenivasan', 'Saiju Kurup']"
Udaya,"Drama, Sport","The film is an emotional family drama that tells the story in the back-drop of football. It follows a football club named Udaya, it's players, coach and their families.",Dheeraj Bala,"['Suraj Venjaramoodu', 'Sreenath Bhasi']"
Innalekal,Drama,Add a Plot,Vinesh Devasia,"['Sunil Sukhada', 'Sarath Kumar']"
Red River,Drama,Add a Plot,Ashok R. Nath,['Vishnu Unnikrishnan']
Dalamarmarangal,Drama,"The hidden secrets of an attempted murder are revealed through portrayal of circumstances that three different girls pass through in their life. Aswathy, a textiles shop employee, is ...See full summary»",Vijayakrishnan,"['Indrans', 'Iniya', 'Jayakrishnan', 'Lissy Jose']"
Antappan Weds Ancy,Comedy,Add a Plot,Sanoop Thykoodam,"['Arjun Ashokan', 'Sreenath Bhasi']"
2 Gentlemen,Drama,Add a Plot,Jayan Mulangadu,"['Asif Ali', 'Suraj Venjaramoodu', 'Sreenivasan', 'Seetha']"
Kannadi Talkies,"Comedy, Thriller",Add a Plot,K.M. Madhusudhanan,"['Indrans', 'Sreenivasan', 'Mammukoya', 'Lakshmi Sharma']"
Journey,Drama,Add a Plot,Sanjith Chandrasenan,"['Sreenath Bhasi', 'Dhanesh Anand']"
Vazhave Mayam,Drama,Add a Plot,Shajoon Karyal,"['Kunchacko Boban', 'Biju Menon', 'Lal', 'Baburaj']"
Khamaroonisa 14/24/130,Drama,Add a Plot,Anil Radhakrishnan Menon,[]
Baby Sitter,Comedy,Add a Plot,T. Rajeevnath,"['Mamta Mohandas', 'Biju Menon', 'Vinay Forrt']"
Rahasyam,Drama,Add a Plot,Santhosh Sethumadhavan,['Dileep']
Untitled Tovino Thomas/Anuraj Manohar movie,null,Add a Plot,Anuraj Manohar,['Tovino Thomas']
Chila Nerangalil Chilar,Drama,Add a Plot,Sreenivasan Parameshwaran,"['Jackie Shroff', 'Sanjjanaa Galrani', 'Vinutha Lal', 'Devi Ajith']"
S 376 D,Thriller,Add a Plot,Anush Mohan,"['Roopesh Peethambaran', 'Harikrishnan Sanu']"
Irambam,Thriller,Add a Plot,Jeevan Bose,"['Joju George', 'Saiju Kurup', 'Manikandan R. Achari']"
Kattapadathe Mandrikan,Drama,Add a Plot,Faisal Hussain,"['Shivaji Guruvayoor', 'Shukkur', 'Vinod Kovoor', 'Nivin Nair']"
Jamalinte Punjiri,Drama,Add a Plot,Vicky Thambi,"['Indrans', 'Prayaga Martin', 'Joy Mathew', 'Mallika Sukumaran']"
Mysore 150 Km,Drama,Add a Plot,Thufayil,"['Indrans', 'Sudheer Karamana', 'Saikumar', 'Sunil Sugada']"
Oru Wayanadan Pranayakatha,Romance,Add a Plot,Ilyas Mudangassery,['Jesuj Antony']
American Junction,Comedy,Add a Plot,Prem Sreekumar,['Soubin Shahir']
Santa Maria,Thriller,"Sathya, who owns a media company. Sathya has worked in media houses like the BBC, but is now working on his own, craving independence. He is also into sting operations, and Sathya gets interested in a particular murder case, in this film.",Vinu Vijay,"['Alencier Ley Lopez', 'Babu Antony', 'Rony David', 'Irshad']"
Devika,Drama,Add a Plot,Jibin George James,['Roshna Ann Roy']
God's Own Players,null,Add a Plot,A.K.B. Kumar,[]
Somante Krithavu,Drama,Add a Plot,Rohith Narayanan,"['Vinay Forrt', 'Seema G. Nair', 'Ganga Meera', 'Fara Shibla']"
Eeyal,Drama,Add a Plot,Askar Amir,"['Ajmal Ameer', 'Sudhi Koppa', 'Vishnu Unnikrishnan', 'Merin Philip']"
Cult,Thriller,Add a Plot,Sanfeer K,"['Mysskin', 'Joju George', 'Shabeer Kallarakkal', 'Sanchana Natarajan']"
Aaro,null,Add a Plot,Kareem,"['Sunil Sukhada', 'Joju George', 'Anumol K. Manoharan', 'Sudheer Karamana']"
Unni Mukundan-Nirmal Sahadev Film,Action,Add a Plot,Nirmal Sahadev,['Unni Mukundan']
Viral 2019,Comedy,Add a Plot,Noushad Alathur,"['Anto Boban', 'Anand Bodh', 'Noushu Kadher', 'Risal Mohammed', 'Jayesh Mohan', 'Shanima Abdhul Naseer', 'John Samuel', 'Nitheesh Sebastian', 'Dharmajan Bolgatty', 'Senthil Krishna', 'Saju Navodaya', 'Ponnamma Babu']"
Anizham Thirunal Marthanda Varma-The King of Travancore,Drama,Add a Plot,K. Madhu,['Rana Daggubati']
Rani,null,The story of a father and daughter pointing their fingers towards the right! The shooting of 'Rani' has been completed'Vasu' is a person involved in party related activities in a border ...See full synopsis»,Nizamudeen Nazar,"['Sajish Francis', 'Muneer Pannalp', 'Sridev Puthedu']"
Urul,Thriller,Add a Plot,Unnikrishnan Venmani,['Viaan Mangalaserry']
Whine,Thriller,Add a Plot,Saheer Abbas,['Anumol K. Manoharan']
Great Dance,"Family, Music, Romance","The First Tamil and Malayalam 3D dance film, ""Great Dance,"" is an electrifying tale that blends the vibrant worlds of hip-hop and ballet while exploring the universal themes of family, ...See full summary»",Shiroe Brothers,"['Roshin Shiroe', 'Shibin Shiroe']"
Chirak,"Drama, Fantasy",The story of rebirth.,Renesh,['Neeraj Madhav']
Payal Kunjunni,Drama,Add a Plot,Akhil Kavungal,['Hareesh Peradi']
The Time Book,Sci-Fi,A 15-year-old girl finds a book in her grandfather's attic that allows her to travel back in time and come out of dangerous situation.,Rajeev Paul,[]
Andal,Drama,The film tells the story of Srilankan-Tamil community still living in Kerala and Tamil Nadu.,Shareef Easa,"['Irshad', 'Abhija Sivakala', 'Dhanya Ananya', 'Sadiq']"
Shane Nigam-Nadirsha film,null,Add a Plot,Nadirsha,['Shane Nigam']
Bhaskarabharanam,null,Add a Plot,Roopesh Peethambaran,"['Anjali Krishna', 'Sonika Meenakshi Kurup', 'Maneesh M. Manoj']"
Thami,Drama,Add a Plot,Krpraveen,"['Shine Tom Chacko', 'Pathmaa Gopika']"
Detective Prabhakaran,Comedy,Add a Plot,Jude Anthany Joseph,[]
Eva,"Crime, Fantasy, Horror",Eva is a 2020 Malayalam-language thriller. A few problems a girl can have in a canteen overnight.An officer comes to investigate the problems that may arise later thus the case is being sought.,Deljo Dominic,['Akshay Ajith']
Pattam,null,Add a Plot,Rejeesh Thettiyode,"['Balaji Sarma', 'Jayan Cherthala', 'Juhi Rustagi', 'Bineesh Bastin']"
Haagar,Drama,Add a Plot,Rima Kallingal,['Sharafudheen']
Ithihasa 2,Comedy,Add a Plot,Binu Sadanandan,"['Nikki Galrani', 'Indrajith Sukumaran']"
Charam,Drama,Add a Plot,Jomy Joseph,"['Sarath Kumar', 'Sinoj Varghese', 'Rajesh Sharma', 'Selva Pandian']"
Kadalasupuli,Comedy,Add a Plot,Viswanathan,['Aju Varghese']
Lifelight,Drama,Add a Plot,Bhavana,"['Murali Gopy', 'Indrajith']"
Sapno Ki Rani,null,Add a Plot,Aji John,['Suresh Gopi']
Hananam,"Horror, Mystery, Thriller",Add a Plot,Nirmal Baby Varghese,"['Jeffin Joseph', 'Nibin Stany']"
The Criminal Lawyer,Crime,Add a Plot,Jithin Jithu,"['Vani Viswanath', 'Baburaj']"
Blue,null,Add a Plot,Venu B. Nair,"['Rahman', 'Aparna Nair']"
Pakarppu,"Comedy, Drama, Romance",Add a Plot,Nirmal Baby Varghese,[]
Minukkam,null,Add a Plot,K.S. Mehmood,[]
Van 777,Drama,Van 777 is the true life story of two YouTube brothers. When they are traveling through the forest their car was crashed with police car.,Ramees Nandi,"['Neeraja', 'Ebin Varghese', 'Libin Varghese']"
Pakshikalkk Parayanullath,Drama,"What the birds want to say ""Pakshikalku Parayanullath"" is an almanac of afflictions that struck a family of three Meenakshi, her father Jahan Mohammed, and her mother InduLekha. Three ...See full summary»",Sudha Radhika,[]
Special 21,Drama,Add a Plot,Nitin Narayanan,"['Riyaz Khan', 'Ranjith', 'Maanav', 'Divya']"
Untitled Mohanlal movie,null,Add a Plot,Mohanlal,[]
State Bus,null,Add a Plot,Chandran Narikode,"['Santhosh Keezhattoor', 'Vijilesh Karayad', 'Kabani', 'Siby Thomas']"
Untitled Chinthamani kolacase sequel,"Action, Thriller",Add a Plot,Shaji Kailas,['Suresh Gopi']
Undead,Horror,Add a Plot,Sen Varghese,"['Aravind R. Nair', 'Harisankar D.', 'Anandhu S.R.', 'Varghese Janarious']"
Vazhiye 2,"Horror, Mystery, Thriller",Add a Plot,Nirmal Baby Varghese,"['Nibin Stany', 'Jeffin Joseph']"
Oru Kadannal Kadha,Comedy,Add a Plot,Pradeep Velayudhan,['Jaffer Idukki']
Samadhanathinte Vellaripravukal,Drama,Add a Plot,Nitheesh K. Nair,"['Shivaji Guruvayoor', 'Nanda Kishore', 'Kochu Preman', 'Manu Shivaji']"
Asuraa,null,Add a Plot,Pradeep Babu,"['Sajna Saaj', 'Riya', 'Swathy', 'Swathu']"
Pine Marangalude Nattil,Drama,Add a Plot,Rasheed Parakkal,"['Ivania', 'Aneesh Menon', 'Ajeesh John', 'Salim Kalabhavan']"
Chocolate Story Retold,Comedy,Add a Plot,Binu Peter,['Unni Mukundan']
Honeymoon Trip,Thriller,Add a Plot,Sathyadas Kajiramkulam,"['Saji Soman', 'Vismaya', 'Pathrose', 'Shinto']"
Untitled Tovino movie,null,Add a Plot,Rohith V.S.,['Tovino Thomas']
Untitled Asif Ali film,null,Add a Plot,Vivek,['Asif Ali']
Untitled Jayasurya Film,null,Add a Plot,Joshiy,['Jayasurya']
Dreadful Night,Horror,Add a Plot,Nirmal Baby Varghese,[]
Kurish,null,Add a Plot,Arun Raj,"['Prabha', 'Divakar', 'T.R. Vishnu', 'Kochumon']"
Arabikadalinte Rani - A Metro Woman,Drama,Add a Plot,M. Padmakumar,['Rima Kallingal']
Forest Berry John,Comedy,Add a Plot,Christopher Dalton,[]
Mr. Hacker,null,Add a Plot,Harris,"['Neena Kurup', 'Reshma Rajan', 'Sohan Seenulal', 'Devan']"
Untitled Siju Wilson/Vinayan Project,null,Add a Plot,Vinayan,['Siju Wilson']
Jwalamukhi,Drama,Add a Plot,Harikumar,"['Surabhi Lakshmi', 'Vinitha Koshy']"
Neeyillathe,"Drama, Romance",Add a Plot,K.T.M. Srinivas,"['Shree Shruthi', 'Avinash Narasimha']"
Untitled Leo Vijayan Film,null,Intra is a survival hiest movie director by leo vijayan,Leo Vijayan,"['Maya S. Krishnan', 'Swagatha Krishnan']"
Chunks 2,Drama,Add a Plot,Omar,[]
Ila,Musical,Add a Plot,Hari Narayanan,"['Aparna Balamurali', 'Bijibal', 'Peesappilly Rajeevan']"
Powder,Comedy,Add a Plot,Rahul Kallu,"['Aju Varghese', 'Dhyan Sreenivasan']"
Mission Chelemra,Comedy,Add a Plot,Shaleesh Lal,"['Manu Nidhin', 'Sreegesh', 'Krishnaraj', 'Pranil Premaraj']"
Ekajalakam,Drama,Add a Plot,Saheer Khan,"['Sreenath Bhasi', 'Joju George', 'Sasi Kalinga', 'Sudheer Karamana']"
Untitled Joju George film,Thriller,Add a Plot,Rajesh Nair,['Joju George']
Aanakattiyile Aanavandi,null,Add a Plot,Sugeeth,[]
Mr. & Mrs. Paily 2,"Crime, Mystery, Thriller",Add a Plot,Nirmal Baby Varghese,[]
Nuna,Drama,Add a Plot,Rajesh Irulam,['Indrans']
Devadaruvile Manju,Drama,Add a Plot,Santhosh Nair,['Anoop Menon']
Savaari Giri Giri,Comedy,Add a Plot,Gokul Koottappana,"['Ullas Pandalam', 'Raghu', 'Joby']"
Sree Muthappan,null,Add a Plot,Chandran Narikode,"['Ashokan', 'Joy Mathew']"
Aishwarya Vilasom Gunda Sangham,Comedy,Add a Plot,Rakesh Gopan,"['Aju Varghese', 'Jude Anthany Joseph']"
Dasettante cycle,Drama,Add a Plot,Akhil Kavungal,"['Hareesh Peradi', 'Anjana Appukuttan', 'Kabani', 'Naufal Punathil']"
Abhayam,Drama,Add a Plot,Arun Sailendra Vengara,['Sajitha Pallath']
Cameroon,Sport,Add a Plot,Ajith Pulleri,[]
Panavally Pandavas,Drama,Add a Plot,Saju Navodaya,"['Salim Kumar', 'Sohan Seenulal', 'I.M. Vijayan']"
